exch,ins,date1,date2
SEHK,1038,20170608,20170626
SEHK,1378,20170321,20171030
SEHK,241,20150320,20150415
SEHK,2899,20150421,20150527
SEHK,291,20150402,20150421
SEHK,316,20180727,20180817
NASDAQ,ANSS,20170131,20170302
NASDAQ,ANSS,20171229,20180201
NASDAQ,ANSS,20190731,20190903
NASDAQ,WBD,20151006,20151102
NASDAQ,WBD,20160929,20161019
NASDAQ,WBD,20161020,20161123
NASDAQ,WBD,20170106,20170127
NASDAQ,WBD,20170317,20170410
NASDAQ,WBD,20170413,20170504
NASDAQ,WBD,20170814,20170831
NASDAQ,WBD,20171128,20171220
NASDAQ,WBD,20180807,20180829
NASDAQ,WBD,20180829,20180918
NASDAQ,WBD,20181029,20181120
NASDAQ,WBD,20181219,20190107
NASDAQ,WBD,20190122,20190222
NASDAQ,WBD,20190228,20190322
NASDAQ,WBD,20190712,20190802
NASDAQ,WBD,20190926,20191014
NASDAQ,WBD,20191014,20191104
NASDAQ,WBD,20191104,20191121
NASDAQ,WBD,20200129,20200226
GATE,BONK_USDT,20230710,20231024
GATE,TRB_USDT,20230711,20230913
GATE,CEL_USDT,20230711,20231024
GATE,GNS_USDT,20230711,20231022
GATE,JTS_USDT,20230711,20231022
GATE,AKRO_USDT,20230711,20230810
GATE,BADGER_USDT,20230711,20231024
GATE,PYR_USDT,20230711,20231026
GATE,DODO_USDT,20230711,20231026
GATE,FITFI_USDT,20230715,20230814
GATE,FRONT_USDT,20230704,20230920
